20_02_,19_11_,19_12_,19_10_,19_08_,19_09_,20_01_,Average Performance (Whole Season),Median Performance (Whole Season),time
0.3333333333333333,0.0,0.2791666666666666,0.3333333333333333,-1.0,0.6666666666666666,0.0,0.0875,0.1833333333333333,1
0.39166666666666666,0.125,0.75,0.0,-1.1666666666666667,0.6291666666666667,-0.17777777777777778,0.07876984126984124,0.10188492063492062,2
0.3333333333333333,0.5,1.4166666666666665,-0.35,-1.9166666666666665,0.3333333333333333,-1.2916666666666665,-0.13928571428571426,0.09702380952380953,3
0.0,0.5833333333333333,1.6250000000000002,-0.9166666666666667,-2.25,0.16666666666666666,-2.8333333333333335,-0.5178571428571429,-0.25892857142857145,4
-0.16666666666666666,0.49999999999999994,1.4166666666666665,-0.7777777777777778,-2.5,0.125,-3.3333333333333335,-0.6765873015873016,-0.42162698412698413,5
-0.3333333333333333,-0.2222222222222222,1.1666666666666667,0.0,-2.75,0.16666666666666666,-2.6666666666666665,-0.6626984126984127,-0.2777777777777778,6
-0.16666666666666666,-1.0,0.8333333333333334,0.5833333333333333,-3.0,0.2333333333333333,-2.0,-0.6452380952380953,-0.40595238095238095,7
0.08333333333333333,-1.6666666666666667,0.75,0.12499999999999999,-3.5,-0.16666666666666666,-1.7222222222222223,-0.8710317460317462,-0.5188492063492064,8
0.4,-2.0,0.27777777777777773,-0.4444444444444444,-4.166666666666666,-0.6111111111111112,-1.8333333333333333,-1.1968253968253968,-0.903968253968254,9
0.8333333333333334,-2.777777777777778,-0.16666666666666666,-0.5833333333333333,-4.666666666666667,-1.0,-1.5,-1.4087301587301586,-1.2043650793650793,10
1.388888888888889,-3.0,-0.5833333333333333,-0.3333333333333333,-4.916666666666666,-1.1666666666666667,-1.5,-1.4444444444444444,-1.3055555555555556,11
2.6666666666666665,-2.7083333333333335,-1.0,-0.3333333333333333,-5.166666666666667,-1.1666666666666667,-1.5833333333333335,-1.3273809523809526,-1.2470238095238098,12
3.3333333333333335,-2.166666666666667,-1.0,-0.38888888888888884,-5.166666666666667,-1.6666666666666667,-1.9444444444444444,-1.2857142857142858,-1.4761904761904763,13
3.166666666666667,-1.3333333333333333,-1.25,-0.6666666666666666,-5.166666666666667,-1.7,-2.291666666666667,-1.3202380952380952,-1.3267857142857142,14
2.8333333333333335,-0.8333333333333333,-1.5,-1.0416666666666667,-5.333333333333333,-1.5,-1.7916666666666665,-1.3095238095238095,-1.4047619047619047,15
2.916666666666667,0.0,-1.6666666666666667,-1.6666666666666665,-5.333333333333333,-1.5,-1.3333333333333333,-1.226190476190476,-1.4166666666666665,16
3.416666666666667,0.5833333333333333,-2.333333333333333,-2.0,-5.333333333333333,-1.6666666666666667,-1.5555555555555556,-1.26984126984127,-1.6111111111111112,17
3.722222222222222,0.8333333333333334,-2.8333333333333335,-3.0416666666666665,-5.75,-1.5,-2.0,-1.5099206349206349,-1.7549603174603174,18
3.6666666666666665,0.8333333333333334,-3.1666666666666665,-3.6666666666666665,-6.333333333333333,-1.75,-2.3333333333333335,-1.8214285714285714,-2.0773809523809526,19
3.6666666666666665,1.0,-2.9444444444444446,-4.0,-6.666666666666667,-2.5,-2.888888888888889,-2.047619047619048,-2.6944444444444446,20
3.777777777777778,1.0833333333333335,-2.333333333333333,-4.388888888888889,-7.111111111111111,-2.916666666666667,-3.416666666666667,-2.1865079365079367,-2.625,21
4.291666666666666,1.1111111111111112,-1.9166666666666665,-5.083333333333334,-7.75,-2.8333333333333335,-4.416666666666667,-2.3710317460317465,-2.60218253968254,22
4.111111111111112,1.0,-1.8333333333333333,-5.333333333333333,-8.333333333333332,-2.583333333333333,-5.333333333333333,-2.6150793650793642,-2.599206349206349,23
3.6666666666666665,1.1666666666666667,-1.9444444444444444,-5.416666666666666,-8.666666666666666,-2.5,-5.611111111111112,-2.7579365079365075,-2.628968253968254,24
3.6666666666666665,0.7777777777777778,-1.6666666666666667,-5.333333333333333,-8.833333333333334,-2.5,-5.333333333333333,-2.746031746031746,-2.623015873015873,25
4.111111111111112,-0.27777777777777773,-1.6666666666666667,-5.166666666666667,-8.916666666666668,-2.6666666666666665,-5.055555555555556,-2.805555555555556,-2.736111111111111,26
4.416666666666666,-0.5,-1.7222222222222223,-5.055555555555556,-9.083333333333332,-2.8333333333333335,-5.0,-2.8253968253968256,-2.8293650793650795,27
4.416666666666666,0.0,-1.8888888888888886,-4.833333333333333,-9.25,-3.5416666666666665,-5.0,-2.871031746031746,-3.2063492063492065,28
4.416666666666666,0.7222222222222222,-2.7916666666666665,-4.75,-9.611111111111109,-3.8333333333333335,-5.0,-2.9781746031746033,-3.4057539682539684,29
4.333333333333333,1.4583333333333333,-3.5,-4.458333333333333,-9.833333333333334,-4.0,-5.25,-3.0357142857142856,-3.75,30
