SPIELER,TORE,7M,%,TF,V,2',D
LINDER Luca,1/4,0,25,,0,1,0
FELDER Gabriel,2/3,0,66,2,1,0,0
DÄHLER Jonas,1/1,0,100,,0,0,0
SORGEN Janick,2/2,0,100,,0,1,0
RÖMER Flavian,0/1,0,0,,0,0,0
LÜTHI Dario,0,0,,,0,0,0
DANNMEYER Max,0/5,0,0,1,0,0,0
VON DESCHWANDEN Lukas,6/10,4/4,60,1,0,1,0
WINKLER Marc,0,0,,,0,0,0
GUIGNET Damien,2/2,0,100,3,0,0,0
SCHWAB Yannick,1/1,0,100,,0,0,0
HUWYLER Stefan,0,0,,,0,1,0
MANSE Cedric,2/2,0,100,2,0,0,0
GRUBER Nino,0/1,0,0,,0,0,0
CHERNOV Ivan,7/10,0,70,1,0,0,0
WICK Flavio,0,0,,,0,0,0
