KADER,TORE,7M,%,TF,V,2',D
LINDER Luca,7/8,4/4,87,,0,0,0
DÄHLER Jonas,1/3,0,33,1,0,0,0
SORGEN Janick,4/5,0,80,1,0,0,0
RÖMER Flavian,2/5,0,40,1,0,0,0
LÜTHI Dario,0,0,,,0,1,0
DANNMEYER Max,0/2,0,0,,0,0,0
VON DESCHWANDEN Lukas,6/9,0,66,,0,1,0
WINKLER Marc,0,0,,,0,0,0
GUIGNET Damien,1/2,0,50,1,0,0,0
HUWYLER Stefan,2/2,0,100,,0,0,0
MANSE Cedric,0,0,,,0,0,0
GRUBER Nino,1/3,0,33,,0,0,0
CHERNOV Ivan,1/3,0,33,,0,0,0
WICK Flavio,0,0,,,0,0,0
RÖMER Leandro,0,0,,,0,0,0
DELHEES Ron,2/5,0,40,1,1,1,0
