KADER,TORE,7M,%,TF,V,2',D
LINDER Luca,0,0,,,0,0,0
FELDER Gabriel,2/3,0,66,,0,1,0
DÄHLER Jonas,0/1,0,0,1,0,0,0
SORGEN Janick,3/4,0,75,1,0,0,0
RÖMER Flavian,0/1,0,0,,0,0,0
LÜTHI Dario,0/1,0,0,1,0,0,0
DANNMEYER Max,9/13,0,69,2,0,1,0
VON DESCHWANDEN Lukas,3/7,1/1,42,,1,1,0
WINKLER Marc,0,0,,,0,0,0
SCHWAB Yannick,4/4,0,100,,0,0,0
HUWYLER Stefan,0/1,0,0,,1,1,0
MANSE Cedric,1/1,0,100,,0,1,0
GRUBER Nino,7/7,0,100,,0,0,0
CHERNOV Ivan,1/5,0,20,1,0,0,0
WICK Flavio,0,0,,,0,0,0
