KADER,TORE,7M,%,TF,V,2',D
Linder Luca,5/6,3/4,83,,0,0,0
Felder Gabriel,1/2,0,50,,0,0,0
DÄHLER Jonas,2/4,0,50,,0,0,0
SORGEN Janick,2/3,0,66,1,0,3,0
Römer Flavian,0/2,0,0,1,0,0,0
Lüthi Dario,1/1,0,100,,0,1,0
DANNMEYER Max,5/9,0,55,3,0,0,0
WINKLER Marc,0,0,,,0,0,0
Guignet Damien,2/4,0,50,2,0,0,0
Schwab Yannick,0,0,,,0,0,0
Huwyler Stefan,0,0,,,0,0,0
Manse Cedric,1/2,0,50,2,0,0,0
Gruber Nino,2/2,0,100,,0,0,0
Chernov Ivan,3/5,0,60,3,0,0,0
Wick Flavio,0,0,,,0,0,0
