KADER,TORE,7M,%,TF,V,2',D
LINDER Luca,1/2,0,50,,0,0,0
FELDER Gabriel,2/3,0,66,,1,1,0
DÄHLER Jonas,1/2,0,50,,0,0,0
SORGEN Janick,0/1,0,0,,0,1,0
RÖMER Flavian,1/2,1/1,50,,0,0,0
LÜTHI Dario,1/3,0,33,1,0,0,0
DANNMEYER Max,6/12,0,50,2,0,0,0
VON DESCHWANDEN Lukas,7/11,1/1,63,2,0,3,0
WINKLER Marc,0,0,,,0,0,0
SCHWAB Yannick,2/3,0,66,,0,0,0
HUWYLER Stefan,0,0,,,1,0,0
GRUBER Nino,3/3,0,100,,0,0,0
CHERNOV Ivan,4/6,0,66,5,0,1,0
WICK Flavio,0/1,0,0,,0,0,0
