KADER,TORE,7M,%,TF,V,2',D
LINDER Luca,1/1,0,100,,0,0,0
FELDER Gabriel,4/5,0,80,1,0,0,0
DÄHLER Jonas,5/6,0,83,,0,1,0
RÖMER Flavian,0,0,,,0,0,0
LÜTHI Dario,0,0,,1,0,2,0
DANNMEYER Max,2/5,0,40,,0,0,0
VON DESCHWANDEN Lukas,7/15,3/4,46,1,1,0,0
WINKLER Marc,0,0,,,0,0,0
GUIGNET Damien,1/4,0,25,,0,0,0
SCHWAB Yannick,5/5,0,100,1,0,1,0
HUWYLER Stefan,1/2,0,50,1,0,0,0
MANSE Cedric,1/4,0,25,2,0,0,0
GRUBER Nino,1/2,0,50,,0,0,0
CHERNOV Ivan,2/2,0,100,2,0,0,0
WICK Flavio,0,0,,,0,0,0
