KADER,TORE,7M,%,TF,V,2',D
LINDER Luca,6/9,3/3,66,,0,0,0
DÄHLER Jonas,3/4,0,75,,0,0,0
SORGEN Janick,0/1,0,0,1,0,0,0
RÖMER Flavian,5/6,0,83,2,0,0,0
LÜTHI Dario,0,0,,,0,0,0
DANNMEYER Max,8/11,0,72,,0,0,0
VON DESCHWANDEN Lukas,1/1,0,100,,0,0,0
WINKLER Marc,0,0,,,0,0,0
GUIGNET Damien,5/5,0,100,,0,0,0
SCHWAB Yannick,0,0,,,0,0,0
HUWYLER Stefan,0/2,0,0,,0,0,0
MANSE Cedric,1/1,0,100,1,0,1,0
GRUBER Nino,4/4,0,100,,0,0,0
CHERNOV Ivan,1/4,0,25,1,0,0,0
WICK Flavio,0,0,,,0,0,0
DELHEES Ron,4/6,0,66,,0,1,0
