KADER,TORE,7M,%,TF,V,2',D
LINDER Luca,2/4,0/1,50,,0,0,0
FELDER Gabriel,1/3,0,33,,0,1,0
DÄHLER Jonas,2/2,0,100,,0,0,0
SORGEN Janick,0,0,,,0,0,0
RÖMER Flavian,0,0,,,0,0,0
LÜTHI Dario,0,0,,,1,1,0
DANNMEYER Max,2/6,0,33,,0,0,0
VON DESCHWANDEN Lukas,11/22,3/4,50,2,0,0,0
WINKLER Marc,0/1,0/1,0,,0,0,0
SCHWAB Yannick,1/1,0,100,,1,0,0
MANSE Cedric,1/2,0,50,2,0,0,0
GRUBER Nino,1/2,0,50,,0,0,0
CHERNOV Ivan,4/6,0,66,3,0,0,0
WICK Flavio,0,0,,1,0,0,0
