KADER,TORE,7M,%,TF,V,2',D
LINDER Luca,2/2,0,100,,0,0,0
FELDER Gabriel,1/2,0,50,,0,0,0
DÄHLER Jonas,0,0,,,0,0,0
SORGEN Janick,3/3,0,100,2,1,2,0
RÖMER Flavian,0,0,,2,0,0,0
LÜTHI Dario,0,0,,1,0,2,0
DANNMEYER Max,2/5,0,40,,0,0,0
VON DESCHWANDEN Lukas,15/21,5/5,71,1,0,0,0
WINKLER Marc,0,0,,,0,0,0
SCHWAB Yannick,0,0,,,0,0,0
HUWYLER Stefan,0,0,,,1,2,0
MANSE Cedric,0/1,0,0,,0,0,0
GRUBER Nino,2/2,0,100,,0,0,0
CHERNOV Ivan,1/5,0,20,1,0,0,0
WICK Flavio,0,0,,,0,0,0
