KADER,TORE,7M,%,TF,V,2',D
LINDER Luca,2/3,0,66,,0,0,0
FELDER Gabriel,3/3,0,100,,0,0,0
DÄHLER Jonas,0,0,,,0,0,0
SORGEN Janick,0,0,,1,0,0,0
RÖMER Flavian,0,0,,,0,1,0
LÜTHI Dario,0,0,,,1,1,0
DANNMEYER Max,2/5,0,40,1,0,0,0
VON DESCHWANDEN Lukas,12/18,4/4,66,2,0,0,0
WINKLER Marc,0,0,,,0,0,0
SCHWAB Yannick,3/3,0,100,2,0,0,0
HUWYLER Stefan,0,0,,,0,0,0
MANSE Cedric,3/4,0,75,1,0,1,0
GRUBER Nino,0,0,,,0,0,0
CHERNOV Ivan,5/7,0,71,2,0,0,0
WICK Flavio,0,0,,,0,0,0
