KADER,TORE,7M,%,TF,V,2',D
LINDER Luca,6/7,2/2,85,,0,0,0
FELDER Gabriel,1/1,0,100,,0,0,0
DÄHLER Jonas,1/2,0,50,,0,0,0
SORGEN Janick,5/5,0,100,3,1,1,0
LÜTHI Dario,0,0,,,0,1,0
DANNMEYER Max,4/9,0,44,1,0,0,0
VON DESCHWANDEN Lukas,3/5,0,60,2,0,0,0
WINKLER Marc,0,0,,1,0,0,0
GUIGNET Damien,1/1,0,100,,0,1,0
SCHWAB Yannick,3/3,0,100,,0,0,0
HUWYLER Stefan,0,0,,,0,2,0
MANSE Cedric,0,0,,1,0,0,0
GRUBER Nino,0,0,,,0,0,0
CHERNOV Ivan,1/1,0,100,,0,0,0
WICK Flavio,0,0,,,0,0,0
DELHEES Ron,6/15,0,40,1,0,0,0
