KADER,TORE,7M,%,TF,V,2',D
LIECHTI Björn,1/1,0,100,5,0,0,0
CAVIEZEL Tim,0,0,,,0,0,0
DÄHLER Nicolas,1/3,0,33,,0,0,0
KARLEN Laurent,2/5,0,40,1,0,0,0
LEHMANN David,0/2,0,0,,0,1,0
KNÖRI Niklas,5/5,0,100,,1,1,0
WABER Gian,5/5,0,100,4,0,2,0
SOMMER Luca,0,0,,,0,0,0
CASPAR Simon,0/2,0,0,,0,0,0
FRISCHKNECHT Lasse,6/9,2/2,66,,0,0,0
HODLER Fynn,0,0,,,0,0,0
NEIGER Dominic,5/9,0/1,55,4,0,1,0
STRIKCANI Artan,0,0,,,0,0,0
MARTHALER Ivan,1/2,0,50,4,0,0,0
