KADER,TORE,7M,%,TF,V,2',D
LEUENBERGER Timon,0,0,,,0,0,0
LIECHTI Björn,2/3,0,66,1,0,0,0
LÜTHI Flurin,0/4,0,0,,0,0,0
MARTHALER Wanja,1/1,0,100,6,0,0,0
DÄHLER Nicolas,2/3,0,66,,1,0,0
KNÖRI Niklas,1/1,0,100,,1,1,0
WABER Gian,0,0,,,0,0,0
HAUDENSCHILD Luis,0/1,0,0,,0,1,0
CASPAR Simon,2/3,0,66,2,0,0,0
FRISCHKNECHT Lasse,4/9,1/1,44,4,0,0,0
HODLER Fynn,0,0,,,0,0,0
JENNI Cédric,6/9,0,66,1,0,1,0
NEIGER Dominic,2/5,2/3,40,6,0,0,0
STRIKCANI Artan,3/4,0,75,1,0,2,0
