KADER,TORE,7M,%,TF,V,2',D
LEUENBERGER Timon,0,0,,,0,0,0
LIECHTI Björn,0/1,0,0,,0,0,0
LÜTHI Flurin,1/2,0,50,1,0,0,0
CALARESU Noè,1/1,0,100,2,0,0,0
DÄHLER Nicolas,8/11,0,72,2,0,0,0
LEHMANN David,0/1,0,0,1,0,0,0
KNÖRI Niklas,2/2,0,100,2,1,2,0
FRISCHKNECHT Lasse,1/4,0,25,2,1,1,0
HODLER Fynn,0,0,,,0,0,0
JENNI Cédric,3/9,0,33,1,0,0,0
NEIGER Dominic,4/5,0,80,3,1,0,0
STRIKCANI Artan,2/3,0,66,,0,2,0
MARTHALER Ivan,2/5,0,40,5,0,0,0
