KADER,TORE,7M,%,TF,V,2',D
LEUENBERGER Timon,1/1,0,100,,0,0,0
LIECHTI Björn,3/4,0,75,1,0,0,0
LÜTHI Flurin,3/3,0,100,2,0,0,0
CALARESU Noè,0,0,,1,0,0,0
DÄHLER Nicolas,5/8,0,62,1,0,0,0
KARLEN Laurent,6/8,0,75,4,0,0,0
LEHMANN David,2/3,0,66,,0,0,0
KNÖRI Niklas,3/4,0,75,3,0,0,0
CASPAR Simon,4/6,0,66,,0,0,0
FREI Mael,0,0,,1,0,0,0
FRISCHKNECHT Lasse,3/6,0,50,3,0,0,0
HODLER Fynn,0,0,,,0,0,0
JENNI Cédric,0/2,0,0,1,1,0,0
NEIGER Dominic,9/10,3/3,90,1,1,0,0
