KADER,TORE,7M,%,TF,V,2',D
LEUENBERGER Timon,0,0,,,0,0,0
LIECHTI Björn,0/1,0,0,,0,0,0
LÜTHI Flurin,1/2,0,50,,0,1,0
DÄHLER Nicolas,1/2,0,50,,0,0,0
MARTHALER Wanja,0,0,,,0,1,0
KNÖRI Niklas,2/3,0,66,1,0,0,0
FRISCHKNECHT Lasse,9/12,0,75,4,0,0,0
HODLER Fynn,0,0,,,0,0,0
JENNI Cédric,0/1,0,0,1,0,1,0
NEIGER Dominic,7/9,2/2,77,2,0,2,0
STRIKCANI Artan,0,0,,,0,0,0
MARTHALER Ivan,7/12,0,58,5,0,0,0
