KADER,TORE,7M,%,TF,V,2',D
LEUENBERGER Timon,0,0,,,0,0,0
LIECHTI Björn,0/1,0,0,,0,1,0
LÜTHI Flurin,0/1,0,0,,0,1,0
DÄHLER Nicolas,1/5,0,20,,0,0,0
KARLEN Laurent,0/2,0,0,4,0,1,0
LEHMANN David,0,0,,,0,0,0
KNÖRI Niklas,3/4,0,75,1,1,0,0
HAUDENSCHILD Luis,0/2,0,0,1,0,0,0
CASPAR Simon,3/7,0,42,1,0,0,0
FRISCHKNECHT Lasse,2/7,0,28,2,0,1,0
HODLER Fynn,0,0,,,0,0,0
JENNI Cédric,0/1,0,0,1,0,1,0
NEIGER Dominic,12/17,4/5,70,1,1,0,0
STRIKCANI Artan,2/4,0,50,2,0,0,0
