21_05_,21_04_,20_09_,20_10_,Average Performance (Whole Season),Median Performance (Whole Season),time
-1.3333333333333333,0.0,-0.3333333333333333,-1.0,-0.6666666666666666,-0.6666666666666666,1
-1.7833333333333332,0.175,-0.65,-0.7333333333333334,-0.7479166666666667,-0.7333333333333334,2
-1.8333333333333333,0.3333333333333333,-1.0,-0.41666666666666663,-0.7291666666666666,-0.7291666666666666,3
-1.5555555555555556,0.25,-1.3333333333333333,-0.16666666666666666,-0.7013888888888888,-0.7013888888888888,4
-2.5,0.20833333333333331,-1.6666666666666667,0.0,-0.9895833333333333,-0.9895833333333333,5
-3.638888888888889,-0.1111111111111111,-1.8333333333333333,0.3333333333333333,-1.3125,-1.3125,6
-3.8333333333333335,-0.3333333333333333,-2.0416666666666665,0.5,-1.4270833333333335,-1.4270833333333335,7
-3.8333333333333335,-0.16666666666666666,-2.8333333333333335,0.25,-1.6458333333333335,-1.6458333333333335,8
-4.388888888888889,0.16666666666666666,-3.75,0.5416666666666666,-1.8576388888888888,-1.8576388888888888,9
-5.25,0.3333333333333333,-3.75,1.5,-1.791666666666667,-1.791666666666667,10
-6.708333333333333,-0.1111111111111111,-3.416666666666667,1.9166666666666665,-2.079861111111111,-2.079861111111111,11
-7.833333333333333,-0.5,-3.4444444444444446,2.25,-2.381944444444444,-2.381944444444444,12
-7.833333333333333,-0.3333333333333333,-4.0,2.5,-2.4166666666666665,-2.4166666666666665,13
-7.25,-0.3333333333333333,-4.5,2.4444444444444446,-2.409722222222222,-2.409722222222222,14
-7.083333333333334,-1.0,-5.375,1.9444444444444444,-2.8784722222222223,-2.8784722222222223,15
-7.5,-1.1666666666666667,-5.833333333333333,1.5,-3.25,-3.25,16
-7.944444444444444,-1.3888888888888886,-5.5,1.0,-3.458333333333333,-3.458333333333333,17
-7.5,-1.75,-4.333333333333334,0.5,-3.2708333333333335,-3.2708333333333335,18
-6.75,-2.0,-4.055555555555556,-0.5416666666666667,-3.336805555555556,-3.336805555555556,19
-6.111111111111111,-2.222222222222222,-4.5,-1.625,-3.614583333333333,-3.614583333333333,20
-5.333333333333333,-2.666666666666667,-5.0,-2.0555555555555554,-3.763888888888889,-3.763888888888889,21
-5.541666666666666,-3.388888888888889,-5.666666666666666,-2.1666666666666665,-4.190972222222222,-4.190972222222222,22
-6.5,-4.208333333333333,-5.583333333333334,-2.2916666666666665,-4.645833333333333,-4.645833333333333,23
-6.5,-4.888888888888889,-4.566666666666666,-3.4444444444444446,-4.85,-4.85,24
-6.222222222222222,-5.666666666666666,-3.6666666666666665,-4.25,-4.951388888888889,-4.951388888888889,25
-6.291666666666666,-5.944444444444444,-3.5,-4.666666666666667,-5.100694444444445,-5.100694444444445,26
-6.25,-5.583333333333334,-3.583333333333333,-5.25,-5.166666666666667,-5.25,27
-5.6,-5.5,-4.125,-6.0,-5.30625,-5.5,28
-4.416666666666667,-5.666666666666667,-4.333333333333333,-6.666666666666667,-5.270833333333334,-5.270833333333334,29
-4.166666666666667,-6.0,-4.45,-7.166666666666666,-5.445833333333333,-5.445833333333333,30
-4.166666666666667,-6.777777777777778,,-7.166666666666667,-6.037037037037037,-6.407407407407407,31
