Sa,26.01.19,17:00
M1
Wacker,Thun,2
SPIELER,TORE,7M,%,TF,V,2',D
2,Schwab,Yannick,1/2,0,50,,0,2,0
3,Forrer,Steven,6/7,3/3,85,2,1,0,0
5,Zehr,Tobias,0,0,,,0,0,0
7,van,den,Nobelen,Timon,0/2,0/1,0,,0,0,0
8,Bunke,Seraphin,0,0,,,0,0,0
9,Schenk,Adrian,0,0,,1,0,0,0
10,Lindner,Jorden,0,0,,,0,0,0
11,Antonietti,Claudio,4/7,0,57,,0,0,0
12,Gobeli,Sven,0,0,,,0,0,0
13,Schär,Nicola,2/3,0,66,1,0,0,0
14,Chernov,Ivan,9/12,0,75,,1,1,0
16,Stettler,Ramon,0,0,,,0,0,0
17,Lory,Elias,4/8,0/1,50,1,0,0,0
19,Schöni,Gregory,0,0,,1,0,0,0
""
TORHÜTER,P/W,7M,%
12,Gobeli,Sven,3/8,0/1,38
16,Stettler,Ramon,7/22,0/2,32
""
STAFF,V,2',D
A,Baumann,Simon,0,0,0
