Sa,16.03.19,18:00
M1
Wacker,Thun,2
SPIELER,TORE,7M,%,TF,V,2',D
2,Meier,Aaron,1/1,0,100,,1,0,0
3,Forrer,Steven,5/8,0,62,1,0,0,0
5,Lindner,Jorden,1/2,0,50,1,0,0,0
6,Antonietti,Claudio,0/1,0,0,,0,0,0
8,Bunke,Seraphin,0/1,0,0,1,0,0,0
9,Schenk,Adrian,3/3,0,100,,0,0,0
10,Gurtner,Nicolas,1/1,0,100,,0,0,0
11,Schwab,Yannick,2/3,0,66,,0,0,0
12,Gobeli,Sven,0,0,,,0,0,0
13,Schär,Nicola,3/5,0,60,,0,0,0
15,Ruef,Mauro,0/6,0,0,,0,0,0
16,Stettler,Ramon,0,0,,1,0,0,0
17,Lory,Elias,2/5,2/3,40,3,0,0,0
19,Chernov,Ivan,7/9,0,77,2,1,0,0
""
TORHÜTER,P/W,7M,%
12,Gobeli,Sven,4/12,1/1,34
16,Stettler,Ramon,6/22,0/2,28
""
STAFF,V,2',D
A,Baumann,Simon,0,0,0
B,Gehrig,Ciril,0,0,0
