So,24.04.22,16:00
""
Wacker,Thun
SPIELER,TORE,7M,%,TF,V,2',D
3,LINDER,Luca,2/4,2/4,50,,0,0,0
4,FELDER,Gabriel,0/1,0,0,1,0,0,0
5,RAEMY,Nicolas,5/8,0,62,3,0,0,0
6,DÄHLER,Jonas,0/1,0,0,1,0,0,0
7,SORGEN,Janick,4/5,0,80,,0,1,0
8,RÖMER,Flavian,0,0,,,0,0,0
9,LÜTHI,Dario,0,0,,,0,2,0
10,DANNMEYER,Max,4/5,0,80,,0,0,0
14,VON,DESCHWANDEN,Lukas,7/9,1/1,77,,0,0,0
16,WINKLER,Marc,0,0,,,0,0,0
18,SCHWAB,Yannick,0,0,,,0,1,0
19,HUWYLER,Stefan,0,0,,,0,2,0
21,GRUBER,Nino,4/7,0,57,,0,0,0
22,CHERNOV,Ivan,1/1,0,100,1,0,0,0
23,WICK,Flavio,0,0,,,0,0,0
25,SUTER,Nicolas,4/7,0/1,57,2,0,0,0
""
TORHÜTER*IN,P/W,7M,%
16,WINKLER,Marc,3/8,2/2,38
23,WICK,Flavio,11/34,4/7,33
""
STAFF,V,2',D
A,CASPRR,Roman,0,0,0
B,BADERTSCHER,Remo,0,0,0
C,DUSS,Anthea,0,0,0
D,DÄHLER,Cyril,0,0,0
