So,08.12.19,16:00
MNLA
Wacker,Thun
SPIELER,TORE,7M,%,TF,V,2',D
2,Holm,Phillip,4/6,0,66,2,1,0,0
4,Felder,Gabriel,5/8,0,62,3,1,0,0
6,Dähler,Jonas,1/1,0,100,,0,0,0
7,Suter,Nicolas,0/3,0,0,3,0,1,0
8,Giovanelli,Marco,0,0,,,0,0,0
9,Schwab,Yannick,0,0,,,0,1,0
10,Lanz,Thomas,2/5,0,40,,0,0,0
11,Wyttenbach,Ivan,2/3,2/3,66,,0,0,0
12,Zuege,Tim,0,0,,,0,0,0
13,Friedli,Reto,0,0,,,0,0,0
14,Lüthi,Dario,2/3,0,66,,0,1,0
15,Huwyler,Simon,1/2,0,50,,1,0,0
17,Guignet,Damien,1/1,0,100,1,0,0,0
20,Haas,Noah,0,0,,,0,0,0
23,Wick,Flavio,1/1,0,100,,0,0,0
25,Bouilloux,Roman,0,0,,1,0,0,0
""
TORHÜTER,P/W,7M,%
23,Wick,Flavio,5/25,1/4,20
""
STAFF,V,2',D
A,Rubin,Martin,0,0,0
B,Badertscher,Remo,0,0,0
C,Dähler,Cyril,0,0,0
