Sa,20.07.19,16:00

Wacker,Thun
SPIELER,TORE,7M,%,TF,V,2',D
2,Holm,Phillip,Tandrup,2/10,0,20,3,1,0,0
3,Linder,Luca,3/4,0,75,2,0,0,0
4,Felder,Gabriel,1/4,0,25,,0,0,0
5,Raemy,Nicolas,3/7,0,42,1,0,0,0
6,Dähler,Jonas,1/2,0,50,,0,0,0
7,Suter,Nicolas,2/3,0,66,,0,0,0
8,Gruber,Nino,1/3,0,33,,0,0,0
9,Lüthi,Dario,1/3,0,33,1,0,0,0
10,Lanz,Thomas,1/1,0,100,,0,0,0
11,Wyttenbach,Ivan,4/8,1/2,50,1,0,0,0
13,Friedli,Reto,0,0,,,1,0,0
15,Huwyler,Simon,0,0,,,0,1,0
16,Winkler,Marc,0,0,,,0,0,0
17,Guignet,Damien,1/4,0,25,4,1,0,0
18,Manse,Cedric,0,0,,,0,0,0
19,Huwyler,Stefan,2/4,0,50,,0,0,0
23,Wick,Flavio,0,0,,,0,0,0
""
TORHÜTER,P/W,7M,%
23,Wick,Flavio,6/21,0/3,29
""
STAFF,V,2',D
A,Rubin,Martin,0,0,0
B,Reuteler,Stefan,0,0,0
C,Taubenheim,André,0,0,0
