19_05_,19_04_,19_03_,19_02_,19_01_,18_12_,18_11_,18_10_,18_09_,Average Performance (Whole Season),Median Performance (Whole Season),time
-0.7083333333333333,-0.125,-0.5833333333333333,0.125,-0.6666666666666666,-0.29166666666666663,-1.0,0.0,-1.2166666666666666,-0.4962962962962963,-0.5398148148148147,1
-0.7666666666666666,-0.4666666666666666,-0.3666666666666667,0.18333333333333335,-0.5,-0.2,-1.7541666666666669,0.49583333333333335,-1.5833333333333335,-0.550925925925926,-0.4833333333333333,2
-0.7777777777777778,-0.75,0.16666666666666666,-0.16666666666666666,-0.2,0.5333333333333333,-3.0833333333333335,1.1666666666666665,-2.277777777777778,-0.5987654320987654,-0.3993827160493827,3
-0.6666666666666666,-0.8333333333333334,0.625,-0.875,0.0,1.2222222222222223,-3.4166666666666665,1.3333333333333333,-3.0,-0.6234567901234568,-0.6450617283950617,4
-0.25,-1.0833333333333335,0.8333333333333334,-0.9444444444444445,1.2,1.3333333333333333,-2.2083333333333335,1.1666666666666667,-3.5,-0.383641975308642,-0.316820987654321,5
0.3333333333333333,-0.8,1.2222222222222223,-0.25,2.416666666666667,1.8333333333333335,-1.1666666666666667,0.6666666666666666,-3.277777777777778,0.10864197530864193,0.22098765432098763,6
0.4583333333333333,0.0,2.1666666666666665,0.5,2.4444444444444446,2.5,-1.0,0.38888888888888884,-2.6666666666666665,0.5324074074074076,0.47916666666666663,7
0.6666666666666666,0.5,3.083333333333333,1.0,1.8333333333333335,3.083333333333333,-0.8333333333333334,0.16666666666666666,-2.4444444444444446,0.7839506172839505,0.7253086419753085,8
0.9166666666666667,0.7777777777777778,3.583333333333333,1.5,1.6666666666666667,3.1111111111111107,-0.7222222222222222,-0.16666666666666666,-2.416666666666667,0.9166666666666666,0.9166666666666667,9
1.388888888888889,0.29999999999999993,4.166666666666667,2.0,1.9,2.9444444444444446,-0.6666666666666666,0.0,-2.277777777777778,1.0839506172839508,1.23641975308642,10
1.9166666666666665,0.3333333333333333,4.9444444444444455,2.222222222222222,2.083333333333333,3.25,-1.0833333333333335,0.3333333333333333,-1.8333333333333333,1.3518518518518519,1.634259259259259,11
2.1666666666666665,0.0,5.166666666666667,2.0,1.8333333333333333,3.75,-1.5,0.1111111111111111,-1.25,1.3641975308641976,1.5987654320987654,12
2.111111111111111,-0.8333333333333333,5.0,1.3888888888888886,1.5,3.8333333333333335,-1.6666666666666667,0.0,-0.7222222222222222,1.1790123456790123,1.2839506172839505,13
1.7222222222222223,-1.5,4.874999999999999,1.5555555555555556,1.1666666666666667,3.583333333333333,-1.8333333333333333,0.25,-0.3333333333333333,1.054012345679012,1.1103395061728394,14
1.4166666666666665,-1.9444444444444444,4.5,2.2083333333333335,1.1666666666666667,3.0,-1.8333333333333333,0.5,0.26666666666666666,1.031172839506173,1.0989197530864199,15
1.4166666666666665,-2.0555555555555554,3.916666666666667,2.75,0.9166666666666667,2.25,-1.75,0.8333333333333333,0.27777777777777773,0.9506172839506175,0.9336419753086421,16
1.6666666666666667,-2.1666666666666665,4.0,3.25,1.0833333333333335,2.0,-1.2916666666666667,1.1666666666666667,-0.3333333333333333,1.0416666666666667,1.125,17
1.8333333333333333,-2.0555555555555554,4.333333333333334,3.583333333333333,1.5,2.222222222222222,-1.0,0.888888888888889,-0.5833333333333333,1.191358024691358,1.345679012345679,18
2.0,-1.8333333333333333,4.666666666666667,3.8333333333333335,1.9166666666666665,2.583333333333333,-1.0,0.5,-0.8333333333333334,1.3148148148148147,1.6157407407407405,19
2.3333333333333335,-2.083333333333333,4.791666666666666,3.583333333333333,2.0,3.083333333333333,-1.0833333333333335,0.41666666666666663,-0.7777777777777778,1.3626543209876543,1.6813271604938271,20
2.5833333333333335,-2.5,5.083333333333334,2.7916666666666665,2.083333333333333,3.5666666666666664,-1.1666666666666667,0.5,-0.8333333333333334,1.3453703703703703,1.7143518518518517,21
2.0,-2.916666666666667,5.333333333333333,2.222222222222222,2.3333333333333335,3.083333333333333,-1.0833333333333335,0.6666666666666666,-0.5833333333333333,1.2283950617283947,1.6141975308641974,22
1.5,-3.0,5.299999999999999,2.0,2.3333333333333335,2.8333333333333335,-0.5833333333333333,0.7777777777777778,0.08333333333333334,1.249382716049383,1.3746913580246916,23
1.6666666666666665,-2.708333333333333,5.666666666666667,1.75,2.25,2.566666666666667,-0.16666666666666666,1.0,0.75,1.4194444444444443,1.5430555555555554,24
1.9166666666666665,-2.5,5.916666666666666,1.5,2.3333333333333335,2.416666666666667,0.25,0.9166666666666667,0.8333333333333334,1.5092592592592593,1.5046296296296298,25
2.3333333333333335,-2.0416666666666665,6.416666666666666,1.75,2.3333333333333335,2.277777777777778,0.6666666666666666,0.5555555555555555,0.5833333333333334,1.6527777777777777,1.7013888888888888,26
2.583333333333333,-1.5,6.611111111111112,1.8333333333333333,2.3888888888888893,1.8333333333333335,0.8333333333333334,0.5,0.08333333333333333,1.6851851851851856,1.7592592592592595,27
3.1666666666666665,-0.7777777777777778,6.333333333333334,1.3333333333333333,2.3333333333333335,1.0000000000000002,0.6666666666666666,0.6666666666666666,0.0,1.6358024691358024,1.1666666666666667,28
4.375,0.3888888888888889,5.5555555555555545,1.3333333333333333,2.277777777777778,1.0,0.7916666666666667,0.29166666666666663,-0.45833333333333337,1.728395061728395,1.1666666666666665,29
5.0,1.4166666666666667,5.166666666666667,1.5833333333333335,2.3333333333333335,1.1666666666666667,0.8333333333333334,-0.3333333333333333,-1.4166666666666667,1.7500000000000002,1.5,30
