19_05_,19_04_,19_03_,19_02_,19_01_,18_12_,18_11_,18_10_,18_09_,18_08_,Average Performance (Whole Season),Median Performance (Whole Season),time
0.6666666666666666,-1.125,0.41666666666666663,-0.16666666666666666,1.3333333333333333,0.29166666666666663,0.875,1.3333333333333333,0.4777777777777777,0.0,0.4102777777777777,0.41666666666666663,1
1.0208333333333335,-1.4,0.6333333333333333,0.26666666666666666,1.4555555555555557,0.17777777777777778,0.4777777777777778,1.6444444444444446,1.0555555555555556,0.0,0.5331944444444444,0.5331944444444444,2
1.5,-1.4166666666666665,0.9166666666666667,0.5,1.5,-0.16666666666666666,0.16666666666666666,2.333333333333333,1.5416666666666667,0.27777777777777773,0.7152777777777778,0.7152777777777778,3
1.4166666666666665,-1.9444444444444446,0.5833333333333334,0.4444444444444444,0.6666666666666667,-0.7777777777777778,-0.25,2.791666666666667,1.4583333333333335,0.04166666666666667,0.44305555555555565,0.4444444444444444,4
1.0,-2.333333333333333,0.16666666666666666,0.041666666666666664,0.2222222222222222,-1.4166666666666665,-0.5,2.583333333333333,0.5833333333333334,-0.6666666666666666,-0.03194444444444442,0.041666666666666664,5
0.9166666666666667,-2.583333333333333,0.41666666666666663,0.13333333333333333,0.6666666666666667,-1.75,-0.8333333333333334,2.5555555555555554,-0.5,-0.9166666666666667,-0.18944444444444444,-0.18944444444444444,6
1.1666666666666667,-2.416666666666667,0.8333333333333334,-0.3333333333333333,1.25,-1.9166666666666665,-0.8333333333333334,2.6666666666666665,-1.4166666666666665,-0.8333333333333334,-0.18333333333333335,-0.3333333333333333,7
1.5,-1.9444444444444444,1.1666666666666667,-1.1666666666666667,1.7222222222222223,-2.0,-0.611111111111111,2.6666666666666665,-1.5,-0.8333333333333334,-0.1,-0.611111111111111,8
2.3888888888888893,-1.6666666666666667,1.4166666666666665,-2.0,1.8333333333333333,-2.083333333333333,-0.16666666666666666,2.166666666666667,-1.25,-1.0,-0.036111111111111024,-0.16666666666666666,9
3.1666666666666665,-1.8333333333333333,1.7222222222222223,-2.416666666666667,1.5555555555555556,-2.388888888888889,0.4444444444444444,1.7222222222222223,-0.9444444444444445,-1.5,-0.047222222222222235,-0.047222222222222235,10
