Do,02.05.19,19:30
""
Wacker,Thun
SPIELER,TORE,7M,%,TF,V,2',D
3,Linder,Luca,4/4,0,100,1,1,0,0
4,Felder,Gabriel,1/2,0,50,1,1,0,0
5,Raemy,Nicolas,4/6,0,66,4,0,1,0
6,Dähler,Jonas,1/2,0,50,,0,1,0
7,Suter,Nicolas,2/2,0,100,,0,1,0
10,Lanz,Thomas,0/1,0,0,,0,0,0
11,Wyttenbach,Ivan,6/10,3/5,60,1,0,0,0
13,Friedli,Reto,0/1,0,0,,0,0,0
15,Huwyler,Simon,0,0,,,1,1,0
16,Winkler,Marc,0,0,,,0,0,0
17,Guignet,Damien,2/4,0,50,,0,0,0
18,Manse,Cedric,1/1,1/1,100,1,0,0,0
19,Huwyler,Stefan,3/3,0,100,,0,0,0
20,Krainer,Sven,1/2,0,50,1,0,0,0
21,Sorgen,Janick,0/1,0,0,,0,0,0
23,Wick,Flavio,2/2,0,100,,0,0,0
""
TORHÜTER,P/W,7M,%
16,Winkler,Marc,0/7,,0
23,Wick,Flavio,8/20,,40
""
STAFF,V,2',D
A,Rubin,Martin,0,0,0
B,Badertscher,Remo,0,0,0
C,Merz,Andreas,0,0,0
D,Dähler,Cyril,0,0,0
