Do,18.04.19,19:30
""
Wacker,Thun
SPIELER,TORE,7M,%,TF,V,2',D
3,Linder,Luca,1/2,0,50,,0,0,0
4,Felder,Gabriel,3/3,0,100,,0,0,0
5,Raemy,Nicolas,4/4,0,100,2,0,0,0
6,Dähler,Jonas,2/3,0,66,,0,0,0
7,Suter,Nicolas,5/6,0,83,,0,0,0
10,Lanz,Thomas,1/2,0,50,1,0,0,0
11,Wyttenbach,Ivan,3/4,2/2,75,1,0,0,0
13,Friedli,Reto,0/2,0,0,,0,0,0
15,Huwyler,Simon,2/3,0,66,,0,0,0
16,Winkler,Marc,0/1,0,0,,0,0,0
17,Guignet,Damien,1/2,0,50,2,0,0,0
18,Manse,Cedric,1/4,0,25,,0,0,0
19,Huwyler,Stefan,2/2,0,100,,1,1,0
20,Krainer,Sven,1/3,0,33,2,0,0,0
21,Sorgen,Janick,1/1,0,100,,0,0,0
23,Wick,Flavio,0,0,,,0,0,0
""
TORHÜTER,P/W,7M,%
16,Winkler,Marc,11/25,1/3,44
23,Wick,Flavio,2/6,,34
""
STAFF,V,2',D
A,Rubin,Martin,0,0,0
B,Badertscher,Remo,0,0,0
C,Merz,Andreas,0,0,0
D,Dähler,Cyril,0,0,0
