Do,15.11.18,20:00

Wacker,Thun
SPIELER,TORE,7M,V,2',D
Caspar,Roman,0,0,1,1,0
Felder,Gabriel,3,0,0,0,0
Friedli,Reto,0,0,0,0,0
Giovanelli,Marco,1,0,0,1,0
Guignet,Damien,2,0,0,0,0
Holm,Phillip,3,0,0,1,0
Huwyler,Simon,1,0,1,0,0
Huwyler,Stefan,0,0,0,2,0
Lanz,Thomas,0,0,1,0,0
Manse,Cedric,0,0,0,0,0
Suter,Nicolas,6,0,0,0,0
Wick,Flavio,0,0,0,0,0
Winkler,Marc,0,0,0,0,0
Wyttenbach,Ivan,7,5,0,0,0
