Do,25.04.19,20:15
""
Wacker,Thun
SPIELER,TORE,7M,%,TF,V,2',D
3,Linder,Luca,3/3,0,100,,0,0,0
4,Felder,Gabriel,0/1,0,0,3,0,0,0
6,Dähler,Jonas,3/6,0,50,,0,1,0
7,Suter,Nicolas,5/11,0,45,3,0,0,0
9,Lüthi,Dario,0,0,,1,0,0,0
10,Lanz,Thomas,0,0,,,0,0,0
11,Wyttenbach,Ivan,8/11,6/7,72,1,0,0,0
13,Friedli,Reto,2/2,0,100,,0,0,0
15,Huwyler,Simon,0,0,,1,1,0,0
16,Winkler,Marc,1/1,0,100,2,0,0,0
17,Guignet,Damien,3/7,0,42,,0,0,0
18,Manse,Cedric,0/1,0,0,1,0,0,0
19,Huwyler,Stefan,0,0,,,1,0,0
20,Krainer,Sven,0,0,,1,0,0,0
21,Sorgen,Janick,0,0,,,0,0,0
23,Wick,Flavio,0,0,,,0,0,0
""
TORHÜTER,P/W,7M,%
16,Winkler,Marc,13/36,2/5,37
""
STAFF,V,2',D
A,Rubin,Martin,0,0,0
B,Badertscher,Remo,0,0,0
C,Merz,Andreas,0,0,0
D,von,Gunten,Andrina,0,0,0
