Di,16.04.19,20:00
""
Wacker,Thun
SPIELER,TORE,7M,%,TF,V,2',D
3,Linder,Luca,3/3,0,100,,0,0,0
4,Felder,Gabriel,1/3,0,33,1,0,0,0
5,Raemy,Nicolas,3/5,0,60,3,0,1,0
6,Dähler,Jonas,1/3,0,33,,0,0,0
7,Suter,Nicolas,4/8,0,50,3,1,0,0
9,Lüthi,Dario,0,0,,,0,0,0
10,Lanz,Thomas,1/1,0,100,,0,0,0
11,Wyttenbach,Ivan,6/8,5/6,75,,0,0,0
13,Friedli,Reto,0/1,0,0,3,0,1,0
15,Huwyler,Simon,1/3,0,33,,1,1,0
16,Winkler,Marc,0,0,,,0,0,0
17,Guignet,Damien,1/3,0,33,2,0,0,0
18,Manse,Cedric,3/3,0,100,1,0,0,0
19,Huwyler,Stefan,0/1,0,0,,0,1,0
20,Krainer,Sven,0,0,,,0,1,0
23,Wick,Flavio,0,0,,,0,0,0
""
TORHÜTER,P/W,7M,%
16,Winkler,Marc,8/31,0/2,26
23,Wick,Flavio,0/3,,0
""
STAFF,V,2',D
A,Rubin,Martin,1,0,0
B,Badertscher,Remo,0,0,0
C,Merz,Andreas,0,0,0
D,Dähler,Cyril,0,0,0
