Sa,03.02.18,17:00
MNLA
Wacker,Thun
SPIELER,TORE,7M,%,TF,V,2',D
3,Linder,Luca,0/2,0,0,,0,0,0
4,Rubin,Lenny,6/11,1/1,54,,1,0,0
5,Raemy,Nicolas,1/3,0,33,1,0,0,0
6,Dähler,Jonas,0/2,0,0,1,0,0,0
7,Suter,Nicolas,0/4,0,0,,0,0,0
8,Giovanelli,Marco,0/4,0,0,,1,1,0
9,Glatthard,Viktor,1/1,0,100,,0,0,0
10,Lanz,Thomas,1/2,0,50,,0,0,0
11,Caspar,Roman,1/4,0,25,1,0,0,0
13,Friedli,Reto,2/3,0,66,,0,0,0
14,von,Deschwanden,Lukas,9/14,2/3,64,,0,0,0
16,Winkler,Marc,0,0,,,0,0,0
17,Guignet,Damien,0,0,,,0,0,0
19,Huwyler,Stefan,0,0,,,1,2,0
20,Krainer,Sven,3/4,0,75,,0,1,0
23,Wick,Flavio,0,0,,,0,0,0
""
TORHÜTER,P/W,7M,%
23,Wick,Flavio,20/40,0/1,50
""
STAFF,V,2',D
A,Rubin,Martin,0,0,0
B,Badertscher,Remo,0,0,0
C,Merz,Andreas,0,0,0
D,Gyger,Jörg,0,0,0
