playerName,team,games,goalsPerGame,yellowCards,2mins,redCards
Berger Thomas,TV Steffisburg 3,8,1.4,1,0,0
Bühlmann Pius,SG HV Olten 2,9,1.2,2,1,0
Andres Silvan,PSG Lyss 5,10,1.1,0,0,0
Wolf Marco,SG HVH/HVL 2 +,11,1,2,3,0
von Ballmoos Rolf,Handball Emme 1,14,0.8,5,2,0
Lienhard Remo,SG HVH/HVL 2 +,3,3.3,1,0,0
Bovey Marcel,SG HVL/HVH 1,5,2,0,1,0
Lorenz Roger,SG Biberist aktiv 2,5,2,0,1,0
Savoy David,PSG Lyss 5,11,0.9,2,0,0
Reist Sandro,Espace Handball,13,0.8,2,0,0
Bortot Matteo,HBC Büren,7,1.3,3,0,0
Stürchler Joel,Handball Emme 1,7,1.3,2,1,0
Petrovic Aleksandar,TV Balsthal 1,13,0.7,2,2,0
Kohler Luc,Handball Emme 1,14,0.6,2,0,0
Kuhn Marcel,HBC Büren,5,1.6,0,0,0
Christen Andreas,TV Steffisburg 3,7,1.1,2,2,1
Stebler Sandro,PSG Lyss 5,10,0.8,1,2,0
Bader Jonathan,TV Balsthal 1,13,0.6,1,1,0
Graber Sandro,SG HV Olten 2,3,2.3,0,1,0
Rüegg Sebastian,SG Biberist aktiv 2,3,2.3,2,1,0
Winten Matthias,Handball Emme 1,14,0.5,0,1,0
Gäumann Philipp,TV Steffisburg 3,1,6,0,0,0
Siegenthaler Remo,PSG Lyss 5,1,6,0,1,0
Kuster Noël,TV Steffisburg 3,2,3,1,1,0
Steiner Andrin,SG HV Olten 2,2,3,1,0,0
Giannoni Raffaele,SG HV Olten 2,4,1.5,2,1,0
Hohl Florian,TV Steffisburg 3,4,1.5,0,0,0
Reuteler Roman,SG HVH/HVL 2 +,6,1,2,1,0
Kolar Miroslav,SG Biberist aktiv 2,8,0.8,0,3,0
Flückiger Alain,Handball Emme 1,9,0.7,0,0,0
Gerber Simon,SG Biberist aktiv 2,10,0.6,1,1,0
Sommer Alain,SG HVH/HVL 2 +,1,5,0,0,0
Sommer Reto,SG HVH/HVL 2 +,1,5,0,0,0
Wilting Dominik Manfred,SG Biberist aktiv 2,1,5,0,0,0
Zilic Rafael,SG HVH/HVL 2 +,1,5,0,0,0
Streun Lars,HBC Büren,2,2.5,0,0,0
Schüpbach Manuel,TV Steffisburg 3,3,1.7,0,0,0
Hofstetter Manuel,Espace Handball,4,1.3,1,0,0
Gilgen Patrik,HBC Büren,11,0.5,0,0,0
Vogt Roman,SG Biberist aktiv 2,11,0.5,1,1,0
Kramer Regis,SG Biberist aktiv 2,2,2,0,1,0
Lüthi Florian,HBC Büren,2,2,2,3,0
Puls Sebastian,SG HVH/HVL 2 +,2,2,0,0,0
Babic Mario,TV Balsthal 1,4,1,0,0,0
Hofstetter Ivan,Espace Handball,4,1,1,0,0
Blum Philipp,Espace Handball,5,0.8,3,4,0
Gilomen Jürg,HBC Büren,11,0.4,0,0,0
Jäggi Robin,Handball Emme 1,10,0.4,3,3,0
Scheidegger Pascal,PSG Lyss 5,9,0.4,2,1,0
Kuhn Timo,TV Steffisburg 3,1,3,0,0,0
Meier Lars,TV Steffisburg 3,1,3,0,0,0
Günter Martin,SG HVL/HVH 1,3,1,0,2,0
Kohl Janis,SG Biberist aktiv 2,3,1,1,2,0
Leuenberger Fabian,SG HVH/HVL 2 +,5,0.6,1,1,0
Hari Dennis,Espace Handball,6,0.5,2,2,0
Geissbühler Marc,PSG Lyss 5,10,0.3,1,2,0
Hug Tobias,TV Steffisburg 3,1,2,0,1,0
Puls Maximilian,SG HVH/HVL 2 +,1,2,1,1,0
Huber Maximilian,SG HV Olten 2,2,1,0,0,0
Puls Sebastian,SG HVL/HVH 1,2,1,0,0,0
Stalder Fabrice,SG HV Olten 2,2,1,0,0,0
Frieden Roy,PSG Lyss 5,3,0.7,0,0,0
Beth Rico,TV Balsthal 1,4,0.5,0,0,0
Rogg Michael,TV Balsthal 1,4,0.5,2,1,0
Schneeberger Remo,TV Steffisburg 3,6,0.3,1,0,0
Volken Luis,TV Balsthal 1,8,0.3,0,2,0
Ammeter Nando,PSG Lyss 5,1,1,0,0,0
Christen Keanu,TV Steffisburg 3,1,1,0,0,0
Fäht Alexander,SG Biberist aktiv 2,1,1,0,0,0
Neuenschwander Dominic,TV Steffisburg 3,1,1,1,3,0
Schär Michael,HBC Büren,1,1,0,1,0
Bühlmann Franz Kai Ge,SG HV Olten 2,2,0.5,0,0,0
Müller Fabian,TV Balsthal 1,2,0.5,1,0,0
von Gunten Dominic,Espace Handball,2,0.5,0,0,0
Jovicic Marco Leonhard,HBC Büren,4,0.3,0,0,0
Aebischer Lukas,Espace Handball,5,0.2,1,1,0
Pauli Fabian,TV Steffisburg 3,7,0.1,0,0,0
Preusser Michael,TV Steffisburg 3,14,0.1,0,0,0
Wegmüller Michael,PSG Lyss 5,10,0.1,0,1,0
Widmer Lukas,SG Biberist aktiv 2,12,0.1,1,4,0
Aeschbach Nicola,SG HVL/HVH 1,13,0,0,0,0
Aeschbach Nicola,SG HVH/HVL 2 +,1,0,0,0,0
Aeschbacher Christoph,Handball Emme 1,11,0,0,0,0
Alfalih Hassan,PSG Lyss 5,2,0,0,0,0
Andrik Luc,SG HV Olten 2,1,0,1,0,0
Barbisch Luzian Maurin,SG Biberist aktiv 2,1,0,0,0,0
Berger Samuel,Espace Handball,3,0,0,0,0
Billeter Yan,SG HVL/HVH 1,1,0,0,0,0
Billeter Yan,SG HVH/HVL 2 +,1,0,0,0,0
Böhlen Stefan,Espace Handball,2,0,0,0,0
Buchmüller Patrick,SG HV Olten 2,14,0,0,0,0
Bühler Matthias,Espace Handball,2,0,0,0,0
Bühlmann Dominic,TV Steffisburg 3,7,0,0,0,0
Christen Christoph,PSG Lyss 5,4,0,0,0,0
Franz Joël,PSG Lyss 5,1,0,0,0,0
Gerber Patrick,SG Biberist aktiv 2,1,0,0,0,0
Häfliger Sandro,SG HVH/HVL 2 +,10,0,0,1,0
Hauser Nico,SG HV Olten 2,1,0,0,0,0
Henschke Jan,PSG Lyss 5,8,0,0,0,0
Hug Philip,HBC Büren,8,0,1,0,0
Kagerer Lucian,SG HV Olten 2,8,0,0,0,0
Kaiser Beat,SG Biberist aktiv 2,3,0,1,1,0
Kellenberger Urs,Espace Handball,3,0,0,0,0
Linder Lorenz,HBC Büren,14,0,0,0,0
Meyer Philipp,TV Balsthal 1,1,0,0,0,0
Moor Daniel,SG HVL/HVH 1,13,0,0,0,0
Muster René,SG HVH/HVL 2 +,3,0,1,2,0
Nützi Mike,SG HV Olten 2,4,0,0,0,0
Rutsch Stefan,Espace Handball,5,0,0,0,0
Schärer Stephan,Espace Handball,9,0,0,0,0
Schori Nico,PSG Lyss 5,1,0,0,1,0
Stähli Fabian,PSG Lyss 5,2,0,0,0,0
Stalder Kay,TV Balsthal 1,14,0,0,0,0
Stücker Nils,HBC Büren,5,0,0,0,0
Töpcke Andreas,PSG Lyss 5,1,0,0,0,0
Vitti Francesco,PSG Lyss 5,5,0,0,0,0
Vogt Matthias,SG Biberist aktiv 2,14,0,0,1,0
Wypior Klaas,Handball Emme 1,12,0,0,1,0
