playerName,team,games,goalsPerGame,yellowCards,2mins,redCards
Platz Flurin,GC Amicitia Zürich,18,7,0,0,0
Heiniger Simon,Pfadi Winterthur,17,6.6,0,4,0
Dechow Benedikt,Pfadi Winterthur,18,6.2,8,5,1
Zwahlen Cédric,SG Möhlin/ Magden,17,6,0,0,0
Weingartner Remy,SG Pilatus,15,6.7,9,20,0
Ceppi Fabian,SG Möhlin/ Magden,17,5.9,7,12,0
Spring Ciril,HSG Nordwest,19,5,7,10,0
Chernov Ivan,SG LakeSide Wacker-Steffisburg,11,8.2,5,5,0
Inauen Noah,SG Fortitudo Gossau,17,5.2,2,2,0
Schenker René,HSC Suhr Aarau,18,4.9,7,9,0
Rinderknecht Laurin,Handball Stäfa,14,6.2,4,0,0
Jauer Nik,BSV Future Bern,17,5.1,1,0,0
Schmidt Tim,Handball Stäfa,17,5.1,3,5,0
Osterwalder Lukas,SG Fortitudo Gossau,16,5.4,3,16,2
Koller Ralf,GC Amicitia Zürich,18,4.8,3,4,0
Schneider Andrin Stephan,SG Fortitudo Gossau,16,5.3,3,5,0
Kim Antonio,SG Pilatus,18,4.7,0,3,0
Cilurzo Nando,SG Pilatus,17,4.7,5,12,0
Fässler Linus,SG Möhlin/ Magden,17,4.6,10,16,0
Aellen Felix,BSV Future Bern,13,5.9,6,4,0
Esposto Manuel,SG Wädenswil/Horgen 1 +,17,4.5,9,16,0
Recher Jan,SG LakeSide Wacker-Steffisburg,19,3.9,4,5,0
Oyamendan Destiny,BSV Future Bern,15,4.8,6,7,0
Kälin David,SG Wädenswil/Horgen 1 +,17,4.2,2,8,0
Hrachovec David,Kadetten Schaffhausen,15,4.7,1,3,0
Stettler Jan,SG LakeSide Wacker-Steffisburg,18,3.9,5,7,0
Koc Ömer,HSG Nordwest,18,3.8,12,20,0
Bader Marc,GC Amicitia Zürich,18,3.7,8,10,0
Reichmuth Jan,HSG Nordwest,9,7.1,2,4,1
Stettler Nils Jonathan,SG LakeSide Wacker-Steffisburg,19,3.4,5,2,0
Waldvogel Nicolas Thierry,Kadetten Schaffhausen,15,4.1,7,7,0
Mirdita Lionel,Kadetten Schaffhausen,12,5,4,4,0
Ischi Gregory,HSG Nordwest,16,3.6,7,11,0
Gysin Pascal,SG Pilatus,18,3.2,11,15,0
Knepper Driton,Pfadi Winterthur,18,3.2,4,7,0
Dietwiler David,HSG Nordwest,19,2.9,2,2,0
Bucher Leon,HSC Suhr Aarau,15,3.7,2,2,0
Zeller Loris,SG Fortitudo Gossau,15,3.7,9,12,1
Hürbin Nico,SG Möhlin/ Magden,16,3.4,1,9,0
Glock Kirill,Kadetten Schaffhausen,17,3.1,6,7,0
