playerName,team,games,goalsPerGame,yellowCards,2mins,redCards
Sigrist Luca,SG Pilatus,17,9.9,5,15,0
Stahel Eric,Pfadi Winterthur,17,8.9,8,8,0
Schnyder Leo Jan,BSV Future Bern,15,9.4,4,13,0
Lüthi Leon,BSV Future Bern,18,7.8,2,2,0
Ruhotina Mak,HSG Nordwest,17,7.6,11,10,0
Herbst Joel,GC Amicitia Zürich,18,6.9,6,7,0
Aebi Fabian Timon,SG LakeSide Wacker-Steffisburg,18,6.5,3,3,0
Steenaerts Gino,SG Pilatus,17,6.7,8,12,0
Huber Dominik,SG OHA,19,5.8,13,15,0
Galovic Maro,HSG Aargau Ost,16,6.8,10,8,0
Wenk Lucas,HSG Nordwest,18,5.9,1,3,0
Fischer Timo,HSG Aargau Ost,13,8.1,2,1,0
Baumann Joshua,SG LakeSide Wacker-Steffisburg,19,5.4,4,4,0
Baumgartner Leo,TSV Fortitudo Gossau,17,5.9,3,4,0
Ottrubay Gabriel,BSV Future Bern,12,8.3,6,1,0
Zollinger Malik,SG Horgen/ Wädenswil 1,15,6.4,4,0,0
Herr Lucas,SG Horgen/ Wädenswil 1,17,5.5,12,11,0
Segales Föllmi Jomil,Handball Stäfa,15,6,8,6,0
Prause Fabian,Pfadi Winterthur,18,4.9,10,6,0
Flückiger Nils,SG Pilatus,17,5.1,4,0,0
Schmid Robin Mischa,GC Amicitia Zürich,18,4.7,10,7,0
Bolleter Timo Jan,SG OHA,18,4.6,2,2,0
Auf der Maur Tim Manuel,HSG Aargau Ost,19,4.3,0,2,0
Rudin Sebastian,SG LakeSide Wacker-Steffisburg,19,4.2,9,10,0
Huber (Aschwanden) Cederic,Handball Stäfa,17,4.6,2,4,0
Hartmann Lukas,Handball Stäfa,18,4.3,3,2,1
Heidrich Luca,Kadetten Schaffhausen,14,5.3,4,6,0
Wagner Jannis,HSG Aargau Ost,17,4.2,2,2,0
De Boer Gian,Kadetten Schaffhausen,17,4.2,5,3,0
