22_09_,23_02_,23_04_,22_10_,22_12_,23_01_,23_03_,22_08_,22_11_,Average Performance (Whole Season),Median Performance (Whole Season),time
0.0,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,0.41666666666666663,-0.6666666666666666,-0.6666666666666666,-1.6666666666666667,-0.125,-0.375,-0.35416666666666663,1
0.4541666666666666,0.3833333333333333,-0.45,-1.64,0.26666666666666666,-0.75,-0.7944444444444444,-1.1972222222222222,-0.17777777777777778,-0.4339197530864197,-0.4419598765432099,2
0.8333333333333334,0.6666666666666666,-0.6666666666666666,-2.916666666666667,0.0,-1.3333333333333333,-0.6666666666666666,-0.08333333333333333,-0.16666666666666666,-0.48148148148148145,-0.32407407407407407,3
0.6666666666666666,0.75,-0.6666666666666666,-3.1666666666666665,-0.08333333333333333,-2.1666666666666665,-0.2222222222222222,-0.25,-0.16666666666666666,-0.5895061728395062,-0.2361111111111111,4
0.6666666666666666,1.0,-0.4444444444444444,-3.3333333333333335,0.375,-2.3333333333333335,0.08333333333333333,-1.1666666666666667,0.0,-0.572530864197531,-0.2222222222222222,5
0.7222222222222222,1.2222222222222223,0.0,-3.583333333333333,0.0,-2.416666666666667,-0.08333333333333333,-1.6111111111111114,-0.08333333333333333,-0.6481481481481481,-0.08333333333333333,6
0.8333333333333334,1.75,0.16666666666666666,-3.8333333333333335,-0.6666666666666666,-2.5000000000000004,-0.41666666666666663,-1.5,-0.41666666666666663,-0.7314814814814816,-0.5416666666666666,7
0.49999999999999994,1.7777777777777777,0.08333333333333333,-4.25,-0.8333333333333334,-3.1666666666666665,-0.6666666666666666,-1.3333333333333333,-0.8333333333333334,-0.9691358024691359,-0.8333333333333334,8
-0.3333333333333333,1.1666666666666665,-0.1111111111111111,-5.083333333333334,-0.49999999999999994,-3.5,-0.75,-2.0,-1.6111111111111114,-1.41358024691358,-1.08179012345679,9
-1.0,0.2222222222222222,-0.41666666666666663,-5.75,0.05555555555555555,-3.7777777777777772,-1.0,-2.6666666666666665,-2.875,-1.912037037037037,-1.4560185185185186,10
-1.4444444444444444,-1.2,-0.7083333333333334,-5.888888888888888,0.3333333333333333,-4.333333333333334,-1.6666666666666667,-3.277777777777778,-3.083333333333333,-2.363271604938271,-2.014969135802469,11
-1.5,-1.5,-0.8333333333333334,-6.0,0.3333333333333333,-4.958333333333333,-2.777777777777778,-4.333333333333333,-2.583333333333333,-2.6836419753086416,-2.6334876543209873,12
-1.5833333333333335,-0.7777777777777778,-0.75,-6.0,0.27777777777777773,-4.777777777777779,-3.277777777777778,-5.611111111111112,-1.9999999999999998,-2.7222222222222223,-2.361111111111111,13
-2.375,0.1111111111111111,-0.6666666666666666,-6.194444444444444,0.75,-4.777777777777778,-2.833333333333333,-6.944444444444444,-1.6111111111111114,-2.7268518518518516,-2.5509259259259256,14
-2.75,0.3333333333333333,-0.8333333333333334,-7.25,1.3333333333333335,-5.166666666666667,-2.5555555555555554,-7.583333333333334,-1.5833333333333335,-2.8950617283950617,-2.6527777777777777,15
