SPIELER,TORE,7M,%,TF,V,2',D
Holm Phillip Tandrup,2/10,0,20,3,1,0,0
Linder Luca,3/4,0,75,2,0,0,0
Felder Gabriel,1/4,0,25,,0,0,0
Raemy Nicolas,3/7,0,42,1,0,0,0
Dähler Jonas,1/2,0,50,,0,0,0
Suter Nicolas,2/3,0,66,,0,0,0
Gruber Nino,1/3,0,33,,0,0,0
Lüthi Dario,1/3,0,33,1,0,0,0
Lanz Thomas,1/1,0,100,,0,0,0
Wyttenbach Ivan,4/8,1/2,50,1,0,0,0
Friedli Reto,0,0,,,1,0,0
Huwyler Simon,0,0,,,0,1,0
Winkler Marc,0,0,,,0,0,0
Guignet Damien,1/4,0,25,4,1,0,0
Manse Cedric,0,0,,,0,0,0
Huwyler Stefan,2/4,0,50,,0,0,0
Wick Flavio,0,0,,,0,0,0
