SPIELER,TORE,7M,%,TF,V,2',D
Holm Phillip,1/5,0,20,1,0,1,0
Dähler Jonas,4/5,0,80,,0,0,0
Suter Nicolas,3/4,0,75,4,1,1,0
Giovanelli Marco,0/1,0,0,,0,0,0
Lanz Thomas,1/3,0,33,,0,0,0
Wyttenbach Ivan,3/4,3/3,75,1,0,0,0
Zuege Tim,0,0,,,0,0,0
Friedli Reto,1/2,0,50,1,0,0,0
Lüthi Dario,1/3,0,33,,1,0,0
Huwyler Simon,1/1,0,100,1,0,0,0
Huwyler Stefan,0/1,0,0,1,0,0,0
Haas Noah,2/4,0,50,2,1,1,0
Gruber Nino,1/5,0,20,,0,0,0
Wick Flavio,1/1,0,100,,0,0,0
Bouilloux Roman,1/2,0,50,,0,0,0
Delhees Ron,4/5,0,80,2,0,2,0
