SPIELER,TORE,7M,%,TF,V,2',D
Holm Phillip,1/4,0,25,2,1,0,0
Felder Gabriel,1/1,0,100,,0,0,0
Raemy Nicolas,2/4,0,50,1,0,0,0
Dähler Jonas,2/3,0,66,1,0,0,0
Suter Nicolas,1/2,0,50,,0,1,0
Giovanelli Marco,0,0,,1,0,0,0
Lanz Thomas,4/6,0,66,1,0,0,0
Wyttenbach Ivan,6/9,3/5,66,2,0,0,0
Friedli Reto,1/1,0,100,,0,0,0
Huwyler Simon,1/1,0,100,,0,0,0
Winkler Marc,0,0,,,0,0,0
Guignet Damien,2/4,0,50,3,1,1,0
Huwyler Stefan,1/1,0,100,1,0,1,0
Manse Cedric,2/3,0,66,,0,2,0
Caspar Roman,0/3,0,0,2,0,0,0
Wick Flavio,0,0,,,0,0,0
