SPIELER,TORE,7M,%,TF,V,2',D
Holm Phillip,0,0,,1,1,1,0
Felder Gabriel,0/1,0,0,,0,1,0
Dähler Jonas,4/5,0,80,1,0,0,0
Suter Nicolas,10/13,0,76,1,0,1,0
Giovanelli Marco,0/1,0,0,1,0,0,0
Lanz Thomas,1/2,0,50,,0,0,0
Wyttenbach Ivan,3/7,3/4,42,,0,0,0
Friedli Reto,2/3,0,66,3,0,0,0
Huwyler Simon,1/1,0,100,,0,2,0
Winkler Marc,0/1,0,0,,0,0,0
Guignet Damien,1/4,0,25,,1,0,0
Gruber Nino,2/4,0,50,1,0,0,0
Huwyler Stefan,1/1,0,100,,1,0,0
Christinat Joël,0/1,0,0,,0,0,0
Caspar Roman,4/6,0,66,,0,1,0
Wick Flavio,0,0,,,0,0,0
