SPIELER,TORE,7M,%,TF,V,2',D
Holm Phillip,2/3,0,66,1,0,0,0
Felder Gabriel,1/1,0,100,,0,0,0
Dähler Jonas,1/2,0,50,,0,0,0
Suter Nicolas,7/9,0,77,2,1,0,0
Giovanelli Marco,2/3,0,66,,0,0,0
Lanz Thomas,2/2,0,100,,1,0,0
Wyttenbach Ivan,5/6,3/4,83,1,0,0,0
Wyss Dominique,0,0,,,0,0,0
Friedli Reto,4/6,0,66,,0,0,0
Huwyler Simon,0,0,,,0,1,0
Gruber Nino,2/4,0,50,,0,0,0
Huwyler Stefan,0,0,,,1,0,0
Krainer Sven,2/4,0,50,,0,0,0
Christinat Joël,3/3,0,100,1,0,0,0
Wick Flavio,0,0,,,0,0,0
Delhees Ron,5/8,0,62,2,0,0,0
