SPIELER,TORE,7M,%,TF,V,2',D
Holm Phillip,4/4,0,100,1,0,1,0
Linder Luca,1/2,0,50,,0,0,0
Felder Gabriel,1/3,0,33,1,0,1,0
Dähler Jonas,6/7,0,85,,0,1,0
Suter Nicolas,2/4,0,50,2,1,0,0
Giovanelli Marco,1/3,0,33,,0,1,0
Lanz Thomas,3/3,0,100,,0,0,0
Wyttenbach Ivan,3/4,2/2,75,,0,0,0
Wyss Dominique,1/1,0,100,,0,0,0
Friedli Reto,1/1,0,100,2,0,0,0
Huwyler Simon,1/2,0,50,,1,1,0
Guignet Damien,4/5,0,80,,0,1,0
Huwyler Stefan,0,0,,,0,1,0
Krainer Sven,1/2,0,50,,0,0,0
Wick Flavio,0,0,,,0,0,0
Delhees Ron,4/8,0,50,1,0,0,0
