SPIELER,TORE,7M,%,TF,V,2',D
Holm Phillip Tandrup,5/9,0,55,2,0,1,0
Felder Gabriel,1/1,0,100,,0,0,0
Raemy Nicolas,5/7,0,71,5,0,0,0
Dähler Jonas,2/3,0,66,,1,0,0
Suter Nicolas,2/6,0,33,,0,1,0
Giovanelli Marco,0,0,,1,0,0,0
Lanz Thomas,6/10,0,60,,0,0,0
Caspar Roman,0,0,,1,1,1,0
Friedli Reto,2/2,0,100,,0,0,0
Huwyler Simon,0,0,,,0,0,0
Winkler Marc,0/1,0,0,,0,0,0
Guignet Damien,1/3,0,33,,0,0,0
Huwyler Stefan,0/1,0,0,,0,1,0
Manse Cedric,3/6,0,50,,0,0,0
Wyttenbach Ivan,2/3,2/2,66,,0,0,0
Wick Flavio,0,0,,,0,0,0
