SPIELER,TORE,7M,%,TF,V,2',D
Linder Luca,2/4,0,50,,0,0,0
Felder Gabriel,1/1,0,100,,0,0,0
Raemy Nicolas,7/8,0,87,3,0,0,0
Dähler Jonas,6/6,0,100,,1,0,0
Suter Nicolas,1/2,0,50,1,1,0,0
Lanz Thomas,0/2,0,0,,0,0,0
Wyttenbach Ivan,5/6,1/2,83,2,0,0,0
Friedli Reto,2/2,0,100,,0,0,0
Huwyler Simon,1/2,0,50,,0,2,0
Winkler Marc,0,0,,,0,0,0
Guignet Damien,2/2,0,100,1,0,0,0
Manse Cedric,1/1,0,100,,0,0,0
Huwyler Stefan,0,0,,,0,0,0
Krainer Sven,2/2,0,100,,0,0,0
Sorgen Janick,1/2,0,50,,0,1,0
Wick Flavio,0,0,,,0,0,0
