SPIELER,TORE,7M,%,TF,V,2',D
Linder Luca,1/2,0,50,,0,0,0
Felder Gabriel,3/3,0,100,,0,0,0
Raemy Nicolas,4/4,0,100,2,0,0,0
Dähler Jonas,2/3,0,66,,0,0,0
Suter Nicolas,5/6,0,83,,0,0,0
Lanz Thomas,1/2,0,50,1,0,0,0
Wyttenbach Ivan,3/4,2/2,75,1,0,0,0
Friedli Reto,0/2,0,0,,0,0,0
Huwyler Simon,2/3,0,66,,0,0,0
Winkler Marc,0/1,0,0,,0,0,0
Guignet Damien,1/2,0,50,2,0,0,0
Manse Cedric,1/4,0,25,,0,0,0
Huwyler Stefan,2/2,0,100,,1,1,0
Krainer Sven,1/3,0,33,2,0,0,0
Sorgen Janick,1/1,0,100,,0,0,0
Wick Flavio,0,0,,,0,0,0
