SPIELER,TORE,7M,%,TF,V,2',D
Holm Phillip,6/10,0,60,1,0,0,0
Felder Gabriel,3/5,0,60,1,0,0,0
Dähler Jonas,4/4,0,100,,0,1,0
Suter Nicolas,3/4,1/1,75,1,0,0,0
Giovanelli Marco,0,0,,2,0,2,0
Christinat Joël,1/2,0,50,,0,0,0
Lanz Thomas,6/6,0,100,,0,0,0
Wyttenbach Ivan,7/13,4/5,53,1,0,0,0
Friedli Reto,0,0,,1,0,0,0
Huwyler Simon,0,0,,,0,0,0
Winkler Marc,0,0,,1,0,0,0
Guignet Damien,3/4,0,75,,0,1,0
Gruber Nino,5/6,0,83,,0,0,0
Huwyler Stefan,1/1,0,100,1,0,0,0
Caspar Roman,0,0,,,1,0,0
Wick Flavio,0,0,,,0,0,0
