SPIELER,TORE,7M,%,TF,V,2',D
Holm Phillip,3/4,0,75,,0,1,0
Raemy Nicolas,7/8,0,87,2,0,0,0
Dähler Jonas,4/5,0,80,,0,1,0
Suter Nicolas,1/1,0,100,4,1,0,0
Giovanelli Marco,1/1,0,100,,0,0,0
Lanz Thomas,5/6,0,83,,0,0,0
Wyttenbach Ivan,8/9,5/5,88,,0,0,0
Friedli Reto,1/2,0,50,1,0,0,0
Huwyler Simon,0,0,,,1,2,0
Winkler Marc,0,0,,1,0,0,0
Guignet Damien,1/3,0,33,,0,1,0
Gruber Nino,3/3,0,100,,0,0,0
Huwyler Stefan,3/3,0,100,,1,1,0
Krainer Sven,1/2,0,50,1,0,0,0
Caspar Roman,2/3,0,66,,0,0,0
Wick Flavio,0,0,,,0,0,0
