SPIELER,TORE,7M,%,TF,V,2',D
Linder Luca,4/4,0,100,1,1,0,0
Felder Gabriel,1/2,0,50,1,1,0,0
Raemy Nicolas,4/6,0,66,4,0,1,0
Dähler Jonas,1/2,0,50,,0,1,0
Suter Nicolas,2/2,0,100,,0,1,0
Lanz Thomas,0/1,0,0,,0,0,0
Wyttenbach Ivan,6/10,3/5,60,1,0,0,0
Friedli Reto,0/1,0,0,,0,0,0
Huwyler Simon,0,0,,,1,1,0
Winkler Marc,0,0,,,0,0,0
Guignet Damien,2/4,0,50,,0,0,0
Manse Cedric,1/1,1/1,100,1,0,0,0
Huwyler Stefan,3/3,0,100,,0,0,0
Krainer Sven,1/2,0,50,1,0,0,0
Sorgen Janick,0/1,0,0,,0,0,0
Wick Flavio,2/2,0,100,,0,0,0
