SPIELER,TORE,7M,%,TF,V,2',D
Linder Luca,1/2,0,50,,0,0,0
Felder Gabriel,0/1,0,0,2,0,0,0
Raemy Nicolas,1/2,0,50,1,0,0,0
Dähler Jonas,2/3,0,66,,0,0,0
Suter Nicolas,6/8,0,75,1,0,1,0
Lanz Thomas,1/1,0,100,,0,1,0
Wyttenbach Ivan,3/7,3/5,42,,0,0,0
Friedli Reto,2/5,0,40,,0,0,0
Huwyler Simon,0,0,,,1,1,0
Winkler Marc,1/1,0,100,,0,0,0
Guignet Damien,3/5,0,60,4,0,0,0
Manse Cedric,2/2,2/2,100,2,0,0,0
Huwyler Stefan,1/1,0,100,,0,2,0
Krainer Sven,0,0,,,0,0,0
Sorgen Janick,0,0,,,0,0,0
Wick Flavio,2/2,0,100,,0,0,0
