So,04.10.20,16:30
MNLB
TV,Steffisburg
SPIELER,TORE,7M,%,TF,V,2',D
1,Zuege,Tim,0,0,,,0,0,0
2,Karlen,Janes,1/3,0,33,,0,0,0
3,Forrer,Steven,3/6,0/1,50,3,0,2,0
5,Felder,Gabriel,5/6,0,83,,0,2,0
7,Ruef,Mauro,0/1,0,0,,0,0,0
8,Schwab,Yannick,1/1,0,100,1,0,1,0
9,Zehr,Tobias,0,0,,,0,0,0
11,Stettler,Nils,0,0,,1,1,0,0
14,Giovanelli,Marco,4/11,0,36,1,0,0,0
15,Lory,Elias,7/10,2/4,70,2,0,0,0
16,Stettler,Ramon,0,0,,,0,0,0
17,Christinat,Joël,1/3,0,33,,0,0,0
18,Scheidegger,Roman,0/1,0,0,,0,0,0
20,Schöni,Gregory,1/1,0,100,,0,0,0
21,Drollinger,Yannick,1/2,0,50,,0,1,0
22,Stettler,Jan,1/1,0,100,1,0,0,0
""
TORHÜTER,P/W,7M,%
1,Zuege,Tim,4/18,0/2,23
16,Stettler,Ramon,1/20,0/3,5
""
STAFF,V,2',D
A,Bleuer,Dominic,0,0,0
B,Gehrig,Ciril,0,0,0
C,Eggenberger,Nick,0,0,0
D,Drollinger,Markus,0,0,0
