Do,27.05.21,20:00
MNLB
TV,Steffisburg
SPIELER,TORE,7M,%,TF,V,2',D
1,Zuege,Tim,0,0,,,0,0,0
2,Karlen,Janes,1/3,0,33,,1,2,0
3,Forrer,Steven,2/3,0,66,3,0,2,0
4,Kiener,Lars,3/5,0,60,,0,0,0
9,Zehr,Tobias,1/1,0,100,,0,1,0
11,Stettler,Nils,0,0,,1,0,0,0
14,Giovanelli,Marco,1/3,0,33,1,0,0,0
15,Lory,Elias,3/4,0,75,,0,0,0
17,Christinat,Joël,4/9,0,44,,0,0,0
18,Scheidegger,Roman,10/13,3/3,76,2,0,0,0
20,Schöni,Gregory,1/1,0,100,,0,0,0
21,Drollinger,Yannick,2/5,0,40,,0,0,0
23,Manse,Cedric,4/6,0,66,1,0,0,0
33,Brenzikofer,André,0,0,,,0,0,0
""
TORHÜTER,P/W,7M,%
33,Brenzikofer,André,12/40,1/2,30
""
STAFF,V,2',D
A,GEHRIG,Ciril,0,0,0
B,HÜSSER,Markus,0,0,0
C,DROLLINGER,Markus,1,0,0
D,EGGENBERGER,Nick,0,0,0
