18_11_,18_09_,19_01_,19_02_,18_12_,18_10_,19_04_,19_03_,Average Performance (Whole Season),Median Performance (Whole Season),time
-4.75,-0.16666666666666666,-8.866666666666669,-5.416666666666667,2.75,-4.333333333333333,-14.0,-11.366666666666667,-5.768750000000001,-5.416666666666667,32
-4.833333333333333,0.0,-8.833333333333334,-6.277777777777778,3.6666666666666665,-5.222222222222221,-14.875,-11.333333333333332,-5.963541666666666,-5.963541666666666,33
-5.041666666666667,0.0,-9.166666666666666,-6.75,4.166666666666666,-5.333333333333333,-15.0,-11.083333333333332,-6.026041666666666,-6.026041666666666,34
-5.333333333333333,-0.3333333333333333,-9.75,-6.833333333333333,4.5,-5.291666666666667,-14.75,-11.111111111111109,-6.112847222222221,-6.112847222222221,35
-5.583333333333334,-0.5833333333333333,-9.708333333333332,-6.566666666666667,5.111111111111112,-6.000000000000001,-14.375,-11.333333333333334,-6.129861111111111,-6.129861111111111,36
-5.833333333333333,-0.8333333333333334,-9.388888888888891,-6.666666666666667,5.166666666666667,-6.166666666666667,-14.5,-10.833333333333334,-6.131944444444445,-6.166666666666667,37
-6.9,-1.0,-9.333333333333334,-7.0,4.666666666666667,-6.25,-14.333333333333334,-10.5,-6.331250000000001,-6.9,38
-7.666666666666667,-1.25,-8.916666666666668,-7.388888888888888,3.666666666666667,-6.333333333333333,-14.5,-10.833333333333334,-6.652777777777779,-7.388888888888888,39
-7.916666666666666,-1.8333333333333335,-8.5,-7.611111111111112,3.3750000000000004,-6.25,-14.75,-11.388888888888888,-6.859375,-7.611111111111112,40
-8.166666666666666,-2.1666666666666665,-7.916666666666666,-8.033333333333333,3.583333333333333,-6.083333333333334,-14.833333333333334,-12.166666666666668,-6.972916666666666,-7.916666666666666,41
-8.333333333333334,-1.7777777777777777,-7.833333333333333,-8.333333333333334,4.0,-6.0,-14.666666666666666,-11.75,-6.836805555555555,-7.833333333333333,42
-9.0,-0.7222222222222222,-8.166666666666666,-8.624999999999998,4.277777777777778,-5.916666666666666,-14.333333333333334,-10.583333333333332,-6.633680555555555,-8.166666666666666,43
-9.666666666666666,-0.5,-8.583333333333332,-8.666666666666666,3.916666666666667,-5.833333333333333,-14.666666666666666,-11.0,-6.874999999999999,-8.583333333333332,44
-10.0,-0.8333333333333334,-8.833333333333334,-8.888888888888888,3.583333333333333,-5.666666666666667,-15.291666666666666,-12.333333333333334,-7.282986111111112,-8.833333333333334,45
-10.0,-1.0,-8.916666666666668,-9.333333333333334,3.3333333333333335,-5.333333333333333,-16.083333333333336,-12.888888888888888,-7.527777777777778,-8.916666666666668,46
-10.0,-0.75,-8.583333333333332,-10.1,3.7222222222222228,-4.916666666666666,-16.611111111111114,-13.416666666666668,-7.581944444444444,-8.583333333333332,47
-10.25,-0.5416666666666666,-8.333333333333334,-10.75,4.333333333333333,-4.583333333333334,-16.833333333333332,-13.791666666666666,-7.59375,-8.333333333333334,48
-10.583333333333332,-1.1666666666666665,-7.916666666666666,-11.055555555555555,4.666666666666667,-4.25,-17.0,-14.166666666666666,-7.684027777777777,-7.916666666666666,49
-10.583333333333332,-1.6666666666666667,-7.666666666666667,-11.555555555555557,5.416666666666666,-3.75,-17.333333333333336,-14.0,-7.642361111111112,-7.666666666666667,50
-10.333333333333334,-1.75,-7.5,-12.444444444444443,6.333333333333334,-3.416666666666667,-17.833333333333336,-13.958333333333334,-7.612847222222223,-7.612847222222223,51
-10.166666666666666,-1.6666666666666667,-7.25,-12.555555555555555,6.666666666666667,-3.0555555555555554,-18.444444444444443,-14.166666666666666,-7.579861111111111,-7.579861111111111,52
-10.166666666666666,-1.6666666666666667,-7.0,-11.666666666666666,6.583333333333334,-2.8333333333333335,-18.125,-14.055555555555555,-7.366319444444445,-7.366319444444445,53
-10.222222222222221,-1.9166666666666665,-6.5,-10.75,6.166666666666667,-2.75,-17.555555555555557,-14.222222222222221,-7.21875,-7.21875,54
-10.333333333333334,-2.25,-5.9444444444444455,-10.0,6.0,-2.2916666666666665,-18.458333333333332,-14.722222222222221,-7.25,-7.25,55
-10.333333333333334,-2.3333333333333335,-5.416666666666666,-9.0,5.777777777777778,-1.8333333333333333,-18.708333333333332,-15.291666666666668,-7.142361111111112,-7.142361111111112,56
-9.888888888888888,-2.1666666666666665,-4.777777777777778,-8.25,6.166666666666667,-2.0,-17.541666666666668,-15.416666666666668,-6.734375,-6.734375,57
-9.0,-1.6444444444444446,-4.0,-7.7,6.45,-2.5555555555555554,-17.166666666666668,-15.25,-6.358333333333333,-6.358333333333333,58
-9.0,,-3.4583333333333335,-7.5,,-3.466666666666667,-17.41111111111111,-15.166666666666666,-9.333796296296297,-9.0,59
-9.45,,-3.5555555555555554,,,-3.75,,-15.833333333333332,-8.147222222222222,-8.147222222222222,60
,,-3.533333333333333,,,,,-16.675,-10.104166666666668,-10.104166666666668,61
