SPIELER,TORE,7M,%,TF,V,2',D
Felder Gabriel,0,0,,,0,0,1
Raemy Nicolas,3/6,0,50,5,0,0,0
Dähler Jonas,5/6,0,83,1,0,0,0
Sorgen Janick,3/6,0,50,1,0,0,0
Lüthi Dario,0,0,,,0,0,0
Dannmeyer Max,5/9,0,55,2,0,0,0
Wyttenbach Ivan,5/5,4/4,100,1,0,0,0
Friedli Reto,0,0,,1,0,0,0
von Deschwanden Lukas,2/6,0/1,33,,0,0,0
Winkler Marc,0,0,,,0,0,0
Guignet Damien,3/4,0,75,,0,0,0
Schwab Yannick,0/2,0,0,,0,0,0
Huwyler Stefan,1/1,0,100,,0,0,0
Gruber Nino,2/2,0,100,,0,0,0
Chernov Ivan,0,0,,,0,0,0
Wick Flavio,0,0,,,0,0,0
