SPIELER,TORE,7M,%,TF,V,2',D
Bouilloux Roman,0/1,0,0,,0,0,0
Linder Luca,3/4,3/3,75,,0,0,0
Felder Gabriel,3/6,0,50,,0,0,0
Raemy Nicolas,7/15,1/3,46,3,0,0,0
Dähler Jonas,4/4,0,100,,1,2,0
Lüthi Dario,0,0,,,0,0,0
Dannmeyer Max,3/5,0,60,1,0,0,0
Friedli Reto,0/1,0,0,1,0,0,0
von Deschwanden Lukas,5/8,1/2,62,1,0,1,0
Winkler Marc,0,0,,,0,0,0
Guignet Damien,1/2,0,50,2,0,0,0
Schwab Yannick,3/4,0,75,,0,1,0
Huwyler Stefan,0,0,,,1,0,0
Gruber Nino,0/1,0,0,,0,0,0
Chernov Ivan,2/4,0,50,2,0,0,0
Wick Flavio,0/1,0,0,,0,0,0
