SPIELER,TORE,7M,%,TF,V,2',D
Bouilloux Roman,2/2,0,100,1,0,0,0
Felder Gabriel,3/8,0,37,1,0,1,0
Raemy Nicolas,1/2,0,50,1,0,0,0
Römer Flavian,0,0,,,0,0,0
Lüthi Dario,2/2,0,100,,1,1,0
Friedli Reto,1/2,0,50,,0,0,0
von Deschwanden Lukas,11/16,2/2,68,2,0,0,0
Antonietti Claudio,0,0,,,0,0,0
Winkler Marc,1/1,0,100,,0,0,0
Guignet Damien,0,0,,,0,1,0
Schwab Yannick,4/4,0,100,2,0,0,1
Huwyler Stefan,0,0,,,0,1,0
Baumann Yanic,0,0,,,0,0,0
Chernov Ivan,4/5,0,80,,0,1,0
Wick Flavio,0,0,,,0,0,0
Delhees Ron,2/5,0,40,2,0,0,0
