SPIELER,TORE,7M,%,TF,V,2',D
Linder Luca,3/6,0,50,,0,0,0
Felder Gabriel,0/1,0,0,,0,2,0
Raemy Nicolas,3/7,0,42,2,0,0,0
Dähler Jonas,0,0,,,0,1,0
Sorgen Janick,3/3,0,100,,0,1,1
Lüthi Dario,1/1,0,100,,0,0,0
Dannmeyer Max,1/3,0,33,,0,0,0
Wyttenbach Ivan,1/2,0,50,2,0,0,0
von Deschwanden Lukas,9/13,5/7,69,1,0,0,0
Winkler Marc,0,0,,,0,0,0
Guignet Damien,1/2,0,50,,0,0,0
Schwab Yannick,1/2,0,50,1,0,0,0
Huwyler Stefan,1/1,0,100,,1,0,0
Gruber Nino,2/5,0,40,,0,0,0
Chernov Ivan,1/2,0,50,,0,0,0
Wick Flavio,0,0,,,0,0,0
