SPIELER,TORE,7M,%,TF,V,2',D
Bouilloux Roman,1/4,0,25,1,0,0,0
Raemy Nicolas,9/10,0,90,2,0,0,0
Dähler Jonas,3/4,0,75,,0,0,0
Sorgen Janick,0,0,,,0,0,0
Römer Flavian,0,0,,,0,0,0
Lüthi Dario,1/3,0,33,1,0,0,0
Friedli Reto,1/1,0,100,,0,0,0
von Deschwanden Lukas,9/11,3/3,81,1,1,0,0
Antonietti Claudio,0,0,,,0,1,0
Winkler Marc,0,0,,,0,0,0
Schwab Yannick,3/3,0,100,1,1,1,0
Huwyler Stefan,0,0,,,1,1,0
Baumann Yanic,1/1,0,100,,0,2,0
Chernov Ivan,4/5,0,80,2,0,0,0
Wick Flavio,0,0,,,0,0,0
Delhees Ron,2/3,0,66,1,0,0,0
