KADER,TORE,7M,%,TF,V,2',D
Zimmer Julien,0/2,0,0,,0,0,0
MARTI Jimmy,0,0,,1,0,0,0
SCHWEIZER Jonas,4/10,0,40,1,0,2,0
RÖLLI Mael,0/1,0,0,3,0,0,0
TSCHUMI Julian,1/5,0,20,5,0,0,0
VON DÄNIKEN Nick,0/2,0,0,4,0,0,0
BRAND Cédric,0,0,,2,0,1,0
TRÖSCH Finn,3/5,0,60,1,1,0,0
ZIMMER Fabrice,5/8,1/1,62,5,1,1,0
WAHLEN Lukas,2/2,0,100,3,1,0,0
REUSSER Tamaro,0,0,,,0,0,0
LAGGER Nico,0/2,0,0,2,0,0,0
