KADER,TORE,7M,%,TF,V,2',D
GAGALICK Karl,0,0,,,0,0,0
LEHMANN Nils,0/2,0,0,2,0,0,0
MARTI Jimmy,0/3,0,0,,0,0,0
MARTHALER Wanja,13/17,2/4,76,8,0,0,0
RÖLLI Mael,2/2,0,100,,1,1,0
TSCHUMI Julian,0/2,0,0,3,0,0,0
VON DÄNIKEN Nick,1/2,0,50,1,0,0,0
BRAND Cédric,1/1,0,100,,0,0,0
TRÖSCH Finn,3/3,1/1,100,4,0,0,0
ZIMMER Fabrice,4/8,0/1,50,8,1,1,0
WAHLEN Lukas,1/3,0,33,,0,1,0
REUSSER Tamaro,0,0,,,0,0,0
SCHÄRER Julien,0,0,,,0,0,0
GWERDER Silas,1/1,0,100,,1,0,0
