KADER,TORE,7M,%,TF,V,2',D
LEHMANN Nils,0,0,,,0,0,0
MARTI Jimmy,2/3,0,66,,0,0,0
MARTHALER Wanja,2/8,0/2,25,,1,1,0
RÖLLI Mael,4/4,0,100,1,0,0,0
TSCHUMI Julian,0/3,0,0,6,0,0,0
VON DÄNIKEN Nick,2/3,0,66,1,0,0,0
BRAND Cédric,3/4,0,75,1,0,0,0
TRÖSCH Finn,3/4,1/1,75,,1,2,0
ZIMMER Fabrice,1/3,0,33,7,0,0,0
WAHLEN Lukas,1/5,0,20,3,0,1,0
REUSSER Tamaro,0,0,,1,0,0,0
LAGGER Nico,0,0,,,0,0,0
SCHÄRER Julien,0/2,0,0,1,0,0,0
