KADER,TORE,7M,%,TF,V,2',D
GAGALICK Karl,0/1,0,0,,0,0,0
Zimmer Julien,0,0,,,0,0,0
SCHÄRER Julien,1/1,0,100,,0,1,0
MARTHALER Wanja,14/17,2/3,82,,0,0,0
SCHWEIZER Jonas,5/9,3/3,55,2,1,0,0
RÖLLI Mael,4/7,0,57,,0,1,0
TSCHUMI Julian,1/2,0,50,,0,1,0
VON DÄNIKEN Nick,0/1,0,0,,1,1,0
TRÖSCH Finn,3/6,0,50,,0,0,0
ZIMMER Fabrice,2/4,0,50,1,0,1,0
REUSSER Tamaro,0/1,0,0,,0,0,0
GWERDER Silas,1/1,0,100,,0,0,0
