SPIELER,TORE,7M,%,TF,V,2',D
Linder Luca,4/6,0,66,,0,1,0
Rubin Lenny,5/12,0,41,2,1,1,0
Raemy Nicolas,3/6,0,50,3,0,0,0
Dähler Jonas,1/2,0,50,1,0,0,0
Suter Nicolas,1/4,0,25,1,0,0,0
Giovanelli Marco,0,0,,,0,0,0
Glatthard Viktor,1/1,0,100,,0,1,0
Lanz Thomas,1/1,0,100,1,0,0,0
Caspar Roman,1/1,0,100,,0,0,0
Friedli Reto,1/1,0,100,1,0,0,0
von Deschwanden Lukas,6/10,0/1,60,,1,3,0
Winkler Marc,0,0,,2,0,0,0
Guignet Damien,0,0,,,0,0,0
Sorgen Janick,0,0,,,0,0,0
Krainer Sven,0,0,,,0,0,0
Wick Flavio,0,0,,,0,0,0
