SPIELER,TORE,7M,%,TF,V,2',D
Linder Luca,1/1,0,100,,0,0,0
Rubin Lenny,7/11,0,63,3,0,1,0
Raemy Nicolas,0/3,0,0,1,1,0,0
Dähler Jonas,4/6,0,66,,1,2,0
Suter Nicolas,2/7,0,28,1,0,0,0
Giovanelli Marco,0/1,0,0,,0,0,0
Glatthard Viktor,0/1,0,0,,0,0,0
Lanz Thomas,1/1,0,100,,0,0,0
Caspar Roman,0,0,,,0,1,0
Friedli Reto,1/1,0,100,,0,0,0
von Deschwanden Lukas,6/8,2/2,75,,0,0,0
Winkler Marc,0,0,,,0,0,0
Guignet Damien,1/1,0,100,,0,0,0
Krainer Sven,3/3,0,100,1,0,0,0
Sorgen Janick,0,0,,,0,0,0
Wick Flavio,0,0,,1,0,0,0
