SPIELER,TORE,7M,%,TF,V,2',D
Rubin Lenny,6/8,0,75,4,0,0,0
Manse Cedric,0,0,,,0,0,0
Suter Nicolas,8/9,2/2,88,1,1,0,0
Giovanelli Marco,1/5,0,20,2,0,1,0
Glatthard Viktor,1/2,0,50,,1,1,0
Lanz Thomas,2/3,0,66,,0,0,0
Caspar Roman,0,0,,,0,0,0
Friedli Reto,3/4,0,75,1,0,0,0
Gruber Nino,0/2,0,0,,0,0,0
Winkler Marc,0,0,,,0,0,0
Guignet Damien,1/1,1/1,100,,0,0,0
Christinat Joël,1/1,0,100,,0,0,0
Huwyler Stefan,0/1,0,0,,1,2,0
Krainer Sven,4/6,0,66,,0,0,0
Felder Gabriel,2/3,0,66,,0,0,0
Wick Flavio,1/1,0,100,,0,0,0
